"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704872657","861900","verejny","3780",,,,,"2307","180","2006","97","19","Neinvestiční náklady na ochranu životního prostředí","Ost.akt.na ochr.živ.pr.","Česká republika",
"704462059","24572","verejny","3932",,,,,"2307","114","2006","97","19","Tržby z prodeje vedlejších produktů","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462056","5544558","verejny","3932",,,,,"2307","140","2006","97","19","Tržby z prodeje vedlejších produktů","Ekologické nakládání s odpady","Česká republika",
"704462057","41913","verejny","3932",,,,,"2307","112","2006","97","19","Tržby z prodeje vedlejších produktů","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872639","6307975","verejny","3932",,,,,,,"2006","97","19","Tržby z prodeje vedlejších produktů",,"Česká republika",
"704462054","436828","verejny","3932",,,,,"2307","130","2006","97","19","Tržby z prodeje vedlejších produktů","Ochrana ovzduší a klimatu","Česká republika",
"704462055","177361","verejny","3932",,,,,"2307","111","2006","97","19","Tržby z prodeje vedlejších produktů","Ekologické nakládání s odpadními vodami","Česká republika",
"704462058",,"duverny","3932",,,,,"2307","113","2006","97","19","Tržby z prodeje vedlejších produktů","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872953","3372544","verejny","726",,,,,"2307","140","2007","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpady","Česká republika",
"704872957","1225426","verejny","726",,,,,"2307","113","2007","97","19","Investice na ochranu životního prostředí","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462089","5905932","verejny","726",,,,,"2307","130","2007","97","19","Investice na ochranu životního prostředí","Ochrana ovzduší a klimatu","Česká republika",
"704872961","281103","verejny","726",,,,,"2307","115","2007","97","19","Investice na ochranu životního prostředí","Ochrana proti záření","Česká republika",
"704872959","362874","verejny","726",,,,,"2307","114","2007","97","19","Investice na ochranu životního prostředí","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704872942","19899541","verejny","726",,,,,,,"2007","97","19","Investice na ochranu životního prostředí",,"Česká republika",
"704872951","6053301","verejny","726",,,,,"2307","111","2007","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpadními vodami","Česká republika",
"704872965","478458","verejny","726",,,,,"2307","180","2007","97","19","Investice na ochranu životního prostředí","Ost.akt.na ochr.živ.pr.","Česká republika",
"704872963","3929","verejny","726",,,,,"2307","116","2007","97","19","Investice na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
"704872955","2215974","verejny","726",,,,,"2307","112","2007","97","19","Investice na ochranu životního prostředí","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462098","2788199","verejny","726",,,"5567","11000","2307","140","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ekologické nakládání s odpady","Česká republika",
"704872944","5691094","verejny","726",,,"5567","13000",,,"2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor",,"Česká republika",
"704462108","131048","verejny","726",,,"5567","13000","2307","114","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462103","322929","verejny","726",,,"5567","13000","2307","130","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana ovzduší a klimatu","Česká republika",
