"idhod","amount","year","confidentiality","location","non_investment_expense_type","program","sector","type_of_expense"
704878118,383489,2013,"verejny","Ústecký kraj","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704878110,1942584,2013,"verejny","Ústecký kraj","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
704878145,51657,2013,"verejny","Ústecký kraj","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704878119,118969,2013,"verejny","Ústecký kraj","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704878128,302713,2013,"verejny","Ústecký kraj","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
704878108,3675598,2013,"verejny","Ústecký kraj",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
704878117,502458,2013,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
704878154,1352,2013,"verejny","Ústecký kraj","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704878126,739939,2013,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
704878153,5524,2013,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
704878146,107747,2013,"verejny","Ústecký kraj","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
704878169,NULL,2013,"duverny","Ústecký kraj",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
704878176,17121,2013,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704878183,54578,2013,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704878171,0,2013,"verejny","Ústecký kraj","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704878170,NULL,2013,"duverny","Ústecký kraj","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
704878177,12986,2013,"verejny","Ústecký kraj","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704878178,4135,2013,"verejny","Ústecký kraj","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
704878185,19884,2013,"verejny","Ústecký kraj","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704878184,34694,2013,"verejny","Ústecký kraj","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
704878167,0,2013,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
704878142,384087,2013,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Revenues from sale of by-products"
704878151,0,2013,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
704878115,388801,2013,"verejny","Ústecký kraj",NULL,NULL,NULL,"Revenues from sale of by-products"
704878124,NULL,2013,"duverny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
704878133,1824,2013,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
704878190,2889,2013,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
741305641,241921,2014,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
741305659,112043,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
741305623,1069685,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
741305677,NULL,2014,"duverny","Ústecký kraj",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
741305668,35871,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
741305614,2539650,2014,"verejny","Ústecký kraj",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
741305632,333160,2014,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
741305695,556676,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
741305686,NULL,2014,"duverny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
741305650,190185,2014,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
741305642,197823,2014,"verejny","Ústecký kraj",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
741305616,223066,2014,"verejny","Ústecký kraj",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
741305670,20808,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
741305625,39737,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
741305652,NULL,2014,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
741305615,2316584,2014,"verejny","Ústecký kraj",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
741305651,NULL,2014,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
741305643,44098,2014,"verejny","Ústecký kraj",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
741305661,0,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
741305633,236603,2014,"verejny","Ústecký kraj",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
741305669,15063,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
741305624,1029948,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305660,112043,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
741305634,96557,2014,"verejny","Ústecký kraj",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
741305687,NULL,2014,"duverny","Ústecký kraj",NULL,"Research and development for environmental protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305678,NULL,2014,"duverny","Ústecký kraj",NULL,"Radiation protection","Non-financial enterprises","Gross investment in tangible non-current assets"
741305688,0,2014,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection","Government institutions","Gross investment in tangible non-current assets"
741305697,16253,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities","Government institutions","Gross investment in tangible non-current assets"
741305696,540423,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities","Non-financial enterprises","Gross investment in tangible non-current assets"
741305679,0,2014,"verejny","Ústecký kraj",NULL,"Radiation protection","Government institutions","Gross investment in tangible non-current assets"
741305671,105370,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
741305644,1528328,2014,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Turnover from selling of services"
741305653,NULL,2014,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
741305617,1706006,2014,"verejny","Ústecký kraj",NULL,NULL,NULL,"Turnover from selling of services"
741305626,105,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
741305635,66797,2014,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Turnover from selling of services"
741305662,0,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
741305680,0,2014,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Turnover from selling of services"
741305689,0,2014,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Turnover from selling of services"
741305698,5395,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Turnover from selling of services"
741305673,0,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
741305646,20613,2014,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
741305655,0,2014,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
741305619,34561,2014,"verejny","Ústecký kraj",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
741305628,NULL,2014,"duverny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
741305637,NULL,2014,"duverny","Ústecký kraj",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
741305664,0,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
741305682,0,2014,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Capitalized output (methodology valid until 2015)"
741305691,0,2014,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Capitalized output (methodology valid until 2015)"
741305700,0,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Capitalized output (methodology valid until 2015)"
741305612,1770503,2014,"verejny","Ústecký kraj","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
741305639,852186,2014,"verejny","Ústecký kraj","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
741305640,1077032,2014,"verejny","Ústecký kraj","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
741305658,NULL,2014,"duverny","Ústecký kraj","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305665,572428,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305630,367048,2014,"verejny","Ústecký kraj","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305666,87760,2014,"verejny","Ústecký kraj","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305667,484668,2014,"verejny","Ústecký kraj","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
741305638,1929218,2014,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
741305647,739470,2014,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305621,373303,2014,"verejny","Ústecký kraj","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305613,2778516,2014,"verejny","Ústecký kraj","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
741305648,50472,2014,"verejny","Ústecký kraj","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305622,109921,2014,"verejny","Ústecký kraj","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305631,351760,2014,"verejny","Ústecký kraj","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305611,4549019,2014,"verejny","Ústecký kraj",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
741305620,483224,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
741305657,NULL,2014,"duverny","Ústecký kraj","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305629,718808,2014,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
741305656,2790,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
741305649,688998,2014,"verejny","Ústecký kraj","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
741305674,NULL,2014,"duverny","Ústecký kraj",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305683,13198,2014,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305692,89580,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305676,NULL,2014,"duverny","Ústecký kraj","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305675,NULL,2014,"duverny","Ústecký kraj","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
741305684,10099,2014,"verejny","Ústecký kraj","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305685,3099,2014,"verejny","Ústecký kraj","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
741305694,61091,2014,"verejny","Ústecký kraj","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305693,28489,2014,"verejny","Ústecký kraj","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
741305672,0,2014,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
741305645,346262,2014,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Revenues from sale of by-products"
741305654,NULL,2014,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
741305618,348264,2014,"verejny","Ústecký kraj",NULL,NULL,NULL,"Revenues from sale of by-products"
741305627,0,2014,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
741305636,NULL,2014,"duverny","Ústecký kraj",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
741305663,0,2014,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
741305681,0,2014,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Revenues from sale of by-products"
741305690,0,2014,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Revenues from sale of by-products"
741305699,749,2014,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
749192000,938613,2015,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
749192068,101000,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
749191930,790719,2015,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
749192138,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
749192077,78106,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
749191869,3874723,2015,"verejny","Ústecký kraj",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
749191939,810820,2015,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
749192205,153385,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
749192147,NULL,2015,"duverny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
749192009,1000080,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
749192001,70567,2015,"verejny","Ústecký kraj",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
749191871,1215505,2015,"verejny","Ústecký kraj",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
749192079,1540,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
749191932,7767,2015,"verejny","Ústecký kraj",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
749192011,6702,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
749191870,2659218,2015,"verejny","Ústecký kraj",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
749192010,993378,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
749192002,868046,2015,"verejny","Ústecký kraj",NULL,"Waste management","Government institutions","Gross investment in tangible non-current assets"
749192070,0,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)","Government institutions","Gross investment in tangible non-current assets"
749191940,490814,2015,"verejny","Ústecký kraj",NULL,"Wastewater management","Non-financial enterprises","Gross investment in tangible non-current assets"
749192078,76566,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)","Non-financial enterprises","Gross investment in tangible non-current assets"
749191931,782952,2015,"verejny","Ústecký kraj",NULL,"Air and climate protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749192069,101000,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)","Non-financial enterprises","Gross investment in tangible non-current assets"
749191941,320006,2015,"verejny","Ústecký kraj",NULL,"Wastewater management","Government institutions","Gross investment in tangible non-current assets"
749192148,NULL,2015,"duverny","Ústecký kraj",NULL,"Research and development for environmental protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749192139,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection","Non-financial enterprises","Gross investment in tangible non-current assets"
749192198,0,2015,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection","Government institutions","Gross investment in tangible non-current assets"
749192207,11444,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities","Government institutions","Gross investment in tangible non-current assets"
749192206,141941,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities","Non-financial enterprises","Gross investment in tangible non-current assets"
749192140,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection","Government institutions","Gross investment in tangible non-current assets"
749192080,24624,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Turnover from selling of services"
749192003,1533240,2015,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Turnover from selling of services"
749192012,9232,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Turnover from selling of services"
749191872,1635179,2015,"verejny","Ústecký kraj",NULL,NULL,NULL,"Turnover from selling of services"
749191933,301,2015,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Turnover from selling of services"
749191942,65748,2015,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Turnover from selling of services"
749192071,0,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Turnover from selling of services"
749192141,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Turnover from selling of services"
749192199,0,2015,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Turnover from selling of services"
749192208,2034,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Turnover from selling of services"
749192134,0,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Capitalized output (methodology valid until 2015)"
749192005,15689,2015,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Capitalized output (methodology valid until 2015)"
749192064,0,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Capitalized output (methodology valid until 2015)"
749191874,29932,2015,"verejny","Ústecký kraj",NULL,NULL,NULL,"Capitalized output (methodology valid until 2015)"
749191935,NULL,2015,"duverny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Capitalized output (methodology valid until 2015)"
749191944,NULL,2015,"duverny","Ústecký kraj",NULL,"Wastewater management",NULL,"Capitalized output (methodology valid until 2015)"
749192073,0,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Capitalized output (methodology valid until 2015)"
749192143,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Capitalized output (methodology valid until 2015)"
749192201,0,2015,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Capitalized output (methodology valid until 2015)"
749192210,0,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Capitalized output (methodology valid until 2015)"
749191867,1584832,2015,"verejny","Ústecký kraj","Internal non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
749191998,694699,2015,"verejny","Ústecký kraj","Internal non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
749191999,1142993,2015,"verejny","Ústecký kraj","External non-investment costs","Waste management",NULL,"Non-investment environmental protection expenditure"
749192067,2040,2015,"verejny","Ústecký kraj","External non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749192074,480119,2015,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749191937,404550,2015,"verejny","Ústecký kraj","Internal non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
749192075,17768,2015,"verejny","Ústecký kraj","Internal non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749192076,462351,2015,"verejny","Ústecký kraj","External non-investment costs","Landscape and biodiversity protection (species diversity)",NULL,"Non-investment environmental protection expenditure"
749191997,1837692,2015,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Non-investment environmental protection expenditure"
749192006,173817,2015,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749191876,363347,2015,"verejny","Ústecký kraj","Internal non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749191868,2266876,2015,"verejny","Ústecký kraj","External non-investment costs",NULL,NULL,"Non-investment environmental protection expenditure"
749192007,53726,2015,"verejny","Ústecký kraj","Internal non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749191929,110770,2015,"verejny","Ústecký kraj","External non-investment costs","Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749191938,366183,2015,"verejny","Ústecký kraj","External non-investment costs","Wastewater management",NULL,"Non-investment environmental protection expenditure"
749191866,3851708,2015,"verejny","Ústecký kraj",NULL,NULL,NULL,"Non-investment environmental protection expenditure"
749191875,474117,2015,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Non-investment environmental protection expenditure"
749192066,1501,2015,"verejny","Ústecký kraj","Internal non-investment costs","Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749191936,770733,2015,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Non-investment environmental protection expenditure"
749192065,3541,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Non-investment environmental protection expenditure"
749192008,120091,2015,"verejny","Ústecký kraj","External non-investment costs","Protection and rehabilitation of soil, underground and surface water",NULL,"Non-investment environmental protection expenditure"
749192135,NULL,2015,"duverny","Ústecký kraj",NULL,"Radiation protection",NULL,"Non-investment environmental protection expenditure"
749192144,13157,2015,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749192202,98450,2015,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749192137,NULL,2015,"duverny","Ústecký kraj","External non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
749192136,NULL,2015,"duverny","Ústecký kraj","Internal non-investment costs","Radiation protection",NULL,"Non-investment environmental protection expenditure"
749192145,NULL,2015,"duverny","Ústecký kraj","Internal non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749192146,NULL,2015,"duverny","Ústecký kraj","External non-investment costs","Research and development for environmental protection",NULL,"Non-investment environmental protection expenditure"
749192204,59407,2015,"verejny","Ústecký kraj","External non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749192203,39043,2015,"verejny","Ústecký kraj","Internal non-investment costs","Other environmental protection activities",NULL,"Non-investment environmental protection expenditure"
749192133,NULL,2015,"duverny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Revenues from sale of by-products"
749192004,285749,2015,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Revenues from sale of by-products"
749192013,NULL,2015,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Revenues from sale of by-products"
749191873,297782,2015,"verejny","Ústecký kraj",NULL,NULL,NULL,"Revenues from sale of by-products"
749191934,NULL,2015,"duverny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Revenues from sale of by-products"
749191943,3461,2015,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Revenues from sale of by-products"
749192072,0,2015,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Revenues from sale of by-products"
749192142,0,2015,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Revenues from sale of by-products"
749192200,0,2015,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Revenues from sale of by-products"
749192209,NULL,2015,"duverny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Revenues from sale of by-products"
766392467,99829,2016,"verejny","Ústecký kraj",NULL,"Waste management",NULL,"Gross investment in tangible non-current assets"
766392519,10030,2016,"verejny","Ústecký kraj",NULL,"Limitation of noise and vibration (except workplace protection)",NULL,"Gross investment in tangible non-current assets"
766392380,443730,2016,"verejny","Ústecký kraj",NULL,"Air and climate protection",NULL,"Gross investment in tangible non-current assets"
766392672,0,2016,"verejny","Ústecký kraj",NULL,"Radiation protection",NULL,"Gross investment in tangible non-current assets"
766392663,53210,2016,"verejny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)",NULL,"Gross investment in tangible non-current assets"
766392371,897636,2016,"verejny","Ústecký kraj",NULL,NULL,NULL,"Gross investment in tangible non-current assets"
766392458,175082,2016,"verejny","Ústecký kraj",NULL,"Wastewater management",NULL,"Gross investment in tangible non-current assets"
766392723,31952,2016,"verejny","Ústecký kraj",NULL,"Other environmental protection activities",NULL,"Gross investment in tangible non-current assets"
766392714,0,2016,"verejny","Ústecký kraj",NULL,"Research and development for environmental protection",NULL,"Gross investment in tangible non-current assets"
766392510,83803,2016,"verejny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water",NULL,"Gross investment in tangible non-current assets"
766392468,81812,2016,"verejny","Ústecký kraj",NULL,"Waste management","Non-financial enterprises","Gross investment in tangible non-current assets"
766392373,91049,2016,"verejny","Ústecký kraj",NULL,NULL,"Government institutions","Gross investment in tangible non-current assets"
766392665,NULL,2016,"duverny","Ústecký kraj",NULL,"Landscape and biodiversity protection (species diversity)","Government institutions","Gross investment in tangible non-current assets"
766392382,10333,2016,"verejny","Ústecký kraj",NULL,"Air and climate protection","Government institutions","Gross investment in tangible non-current assets"
766392512,NULL,2016,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Government institutions","Gross investment in tangible non-current assets"
766392372,806587,2016,"verejny","Ústecký kraj",NULL,NULL,"Non-financial enterprises","Gross investment in tangible non-current assets"
766392511,NULL,2016,"duverny","Ústecký kraj",NULL,"Protection and rehabilitation of soil, underground and surface water","Non-financial enterprises","Gross investment in tangible non-current assets"
